Мисливець на оленiв,,183 min,"Drama, War",8.2,81,Michael Cimino,"Robert De Niro, Christopher Walken, John Cazale, ",0,0
Еннi Голл,,93 min,"Comedy, Romance",8.1,0,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, ",0,0
Роккi,,120 min,"Drama, Sport",8.1,69,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, ",0,0
Пролiтаючи над гнiздом зозулi,,133 min,Drama,8.7,80,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, ",0,0
Хрещений батько - 2,,202 min,"Crime, Drama",9.0,85,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, ",0,0
Аферисти,,129 min,"Comedy, Crime, Drama",8.3,80,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, ",0,0
Хрещений батько,,175 min,"Crime, Drama",9.2,100,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, ",0,0
The French Connection,,104 min,"Action, Crime, Drama",7.8,96,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, ",0,0
Patton,,172 min,"Biography, Drama, War",8.0,91,Franklin J. Schaffner,"George C. Scott, Karl Malden, Stephen Young, ",0,0
Midnight Cowboy,,113 min,Drama,7.9,79,John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles, ",0,0
Oliver!,,153 min,"Drama, Family, Musical",7.5,0,Carol Reed,"Mark Lester, Ron Moody, Shani Wallis, ",0,0
In the Heat of the Night,,109 min,"Crime, Drama, Mystery",8.0,0,Norman Jewison,"Sidney Poitier, Rod Steiger, Warren Oates, ",0,0
A Man for All Seasons,G,120 min,"Biography, Drama, History",7.9,0,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Robert Shaw, ",0,0
The Sound of Music,,174 min,"Biography, Drama, Family",8.0,0,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, ",0,0
My Fair Lady,G,170 min,"Drama, Family, Musical",7.9,0,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, ",0,0
Tom Jones,,128 min,"Adventure, Comedy, History",6.7,0,Tony Richardson,"Albert Finney, Susannah York, Hugh Griffith, ",0,0
Лоуренс Аравiйський,,216 min,"Adventure, Biography, Drama",8.3,100,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, ",0,0
West Side Story,,152 min,"Crime, Drama, Musical",7.6,0,Jerome Robbins,"Robert Wise, Natalie Wood, George Chakiris, Richard Beymer, ",0,0
Квартира,,125 min,"Comedy, Drama, Romance",8.3,0,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, ",0,0
Бен-Гур,,212 min,"Adventure, Drama, History",8.1,90,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, ",0,0
Gigi,,115 min,"Comedy, Musical, Romance",6.9,0,Vincente Minnelli,"Leslie Caron, Maurice Chevalier, Louis Jourdan, ",0,0
Мiст через рiчку Квай,PG,161 min,"Adventure, Drama, War",8.2,0,David Lean,"William Holden, Alec Guinness, Jack Hawkins, ",0,0
Навколо свiту за вiсiмдесят днiв,,175 min,"Adventure, Comedy, Family",6.8,0,Michael Anderson,"John Farrow, David Niven, Cantinflas, Shirley MacLaine, ",0,0
Marty,,90 min,"Drama, Romance",7.7,0,Delbert Mann,"Ernest Borgnine, Betsy Blair, Esther Minciotti, ",0,0
У порту,,108 min,"Crime, Drama, Thriller",8.2,88,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, ",0,0
From Here to Eternity,,118 min,"Drama, Romance, War",7.7,0,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, ",0,0
The Greatest Show on Earth,,152 min,"Drama, Family, Romance",6.7,0,Cecil B. DeMille,"James Stewart, Charlton Heston, Betty Hutton, ",0,0
An American in Paris,,113 min,"Drama, Musical, Romance",7.2,0,Vincente Minnelli,"Gene Kelly, Leslie Caron, Oscar Levant, ",0,0
All About Eve,,138 min,Drama,8.3,0,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, ",0,0
All the King's Men,,110 min,"Drama, Film-Noir",7.6,0,Robert Rossen,"Broderick Crawford, John Ireland, Joanne Dru, ",0,0
Hamlet,,154 min,Drama,7.8,0,Laurence Olivier,"Laurence Olivier, Jean Simmons, John Laurie, ",0,0
Gentleman's Agreement,,118 min,"Drama, Romance",7.4,0,Elia Kazan,"Gregory Peck, Dorothy McGuire, John Garfield, ",0,0
The Best Years of Our Lives,,170 min,"Drama, Romance, War",8.1,0,William Wyler,"Fredric March, Dana Andrews, Myrna Loy, ",0,0
The Lost Weekend,,101 min,"Drama, Film-Noir",8.0,0,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, ",0,0
Going My Way,,126 min,"Comedy, Drama, Music",7.2,0,Leo McCarey,"Bing Crosby, Barry Fitzgerald, Frank McHugh, ",0,0
Касабланка,PG,102 min,"Drama, Romance, War",8.5,100,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, ",0,0
Mrs. Miniver,,134 min,"Drama, Romance, War",7.6,0,William Wyler,"Greer Garson, Walter Pidgeon, Teresa Wright, ",0,0
How Green Was My Valley,,118 min,"Drama, Family",7.8,0,John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, ",0,0
