Великий Зiгфiльд,,176 min,"Biography, Drama, Musical",0,0,,,0,0
Заколот на Баунтi,,132 min,"Adventure, Biography, Drama",0,0,,,0,0
Це сталося якось вночi,,105 min,"Comedy, Romance",0,0,,,0,0
Cavalcade,,112 min,"Drama, Romance, War",0,0,,,0,0
Гранд Готель,,112 min,"Drama, Romance",0,0,,,0,0
Cimarron,,123 min,"Drama, Western",0,0,,,0,0
На захiдному фронтi без змiн,,136 min,"Drama, War",0,0,,,0,0
Бродвейська мелодiя,,100 min,"Drama, Musical, Romance",0,0,,,0,0
Свiтанок: Пiсня двох людей,,94 min,"Drama, Romance",0,0,,,0,0
Крила,PG-13,144 min,"Drama, Romance, War",0,0,,,0,0
